0,0,0,0,0,0,0,0,0,0,0,0.10219887,0.104725292,0.094339623,0.103685181
0,0,0,0,0,0,0,0,0,0,0,0.175164418,0.162744365,0.169811321,0.141145615
0,0,0,0,0,0,0,0,0,0,0,0.063985967,0.071394543,0.056603774,0.064916536
0,0,0,0,0,0,0,0,0,0,0,0.139122314,0.134786876,0.132075472,0.141145615
0,0,0,0,0,0,0,0,0,0,0,0.063985967,0.071394543,0.056603774,0.064916536
0,0,0,0,0,0,0,0,0,0,0,0.023373491,0.031320168,0.018867925,0.02371342
0,0,0,0,0,0,0,0,0,0,0,0.10219887,0.104725292,0.094339623,0.103685181
0,0,0,0,0,0,0,0,0,0,0,0.10219887,0.071394543,0.094339623,0.103685181
0,0,0,0,0,0,0,0,0,0,0,0.10219887,0.071394543,0.094339623,0.064916536
0,0,0,0,0,0,0,0,0,0,0,0.10219887,0.104725292,0.169811321,0.103685181
0,0,0,0,0,0,0,0,0,0,0,0.023373491,0.071394543,0.018867925,0.08450502
0.2358682,0.25888133,0.23486929,0.20562636,0.20393452,0.22015347,0.21249059,0.38235294,0.42,0.23913043,0.19047619,0,0,0,0
0.28335947,0.2265894,0.26987037,0.31893068,0.31536267,0.29562259,0.31192031,0.08823529,0.18,0.10869565,0.28571429,0,0,0,0
0.21933205,0.27412446,0.23320059,0.1860429,0.17480102,0.20530441,0.19150729,0.41176471,0.3,0.45652174,0.19047619,0,0,0,0
0.26144028,0.2404048,0.26205975,0.28940006,0.30590179,0.27891954,0.28408182,0.11764706,0.1,0.19565217,0.33333333,0,0,0,0
